"Plant.Code","January.Condenser.Duty","February.Condenser.Duty","March.Condenser.Duty","April.Condenser.Duty","May.Condenser.Duty","June.Condenser.Duty","July.Condenser.Duty","August.Condenser.Duty","September.Condenser.Duty","October.Condenser.Duty","November.Condenser.Duty","December.Condenser.Duty"
46,17395544.824,15652122.852,13640181.872,14161160.896,16716931.424,16327948.604,16742723.764,16618449.348,15761120.892,17224297.932,15596482.12,15397089.94
204,4844722.208,5255170.976,5781712.276,4687586.928,2351324.132,5612144.36,5798222.176,5771274.676,5576135.588,5824581.812,5660687.868,5849461.64
210,5863200.952,5131050.7,0,0,4997549.692,5630156.08,5778999.024,5790369.396,5643914.812,5878483.3,5671965.896,5860621.48
371,5761323,5198446.72,5666447.24,5399170.76,1309800.72,196304.52,4031505.08,5754436.04,5649316.6,5830576.12,5522852.04,5810104.12
566,20911921.064,18864654.216,20864197.704,18743560.728,20838114.312,20199682.728,20780175.456,20698304.88,19982584.424,10397962.576,16113190.08,20761796.728
621,8871372.936,8049036.98,8451051.684,8241115.228,7265909.084,8369417.14,8641472.776,8638150.548,8468686.836,6922536.3,4348134.84,8169739.108
649,12095010.224,10919903.208,11374384.448,11723483.36,11790565.04,11564786.212,11916962.708,11949672.536,9450030.228,7245658.5,11737788.42,12141717.092
869,9472273.72,7997293.8,10020352.932,9625528.864,9710258.2,9485555.468,9901080.908,9853460.516,9529779.368,9643344.776,6337575.552,8943689.596
880,10019547.388,9048177.332,6407738.24,9162994.24,10009731.084,9594138.956,9864017.536,9869020.88,9160278.288,10030749.588,9731869.216,10023025.78
1060,2932245.504,2890393.944,3172575.26,3071747.356,3046272.584,2990282.444,3051155.7,3115182.716,3019127.62,3125208.26,3076830.62,3192538.636
1590,2818168.772,1663937.224,3323494.984,1988777.756,713015.88,3130843.976,3303900.104,2909742.172,3194167.684,3277588.82,3225012.364,3295054.612
1715,4340441.636,3925259.348,4341543.712,4210243.968,4303195.388,4145910.472,4256219.864,4204607.492,1810106.944,1509836.512,4212755.2,4349698.392
1729,5803164.112,5247690.216,3384904.292,4941669.456,5786077.368,5547101.868,5730568.792,5716559.9,2208559.252,0,305603.656,5805767.468
1922,3178007.708,2892808.736,3203874.388,1087727.052,39288.708,2904663.332,3261915.212,3311827.564,3205307.556,3343664.352,2460600.46,3272593.448
1925,5089308.4,3921102.36,3532060.68,2887348.68,4497988.04,4388965.72,5403269.04,5434768.52,5274657.2,4190304.52,2699369.4,3409989.56
2289,2465088.112,2226507.424,2447862.984,812763.832,0,1473503.624,1644271.008,2403563.96,2339438.432,2461037.392,2391678.932,2465934.288
2388,3148993.28,2845560.512,2572846.216,3028862.592,2304131.136,2951235.232,3003177.612,2997500.956,2939005.076,3115797.492,2939052.844,3134092.4
2410,11233082.788,9980843.416,8832930.456,10590404.68,11189817.424,10768791.54,10945983.192,10247369.7,10741585.084,9471730.596,5100823.992,10835777.6
2497,5461346.1,4938321.044,5468586.364,5289111.56,5426125.24,5168036.012,5282591.96,5263006.496,5133339.86,5411731.78,5256586.172,4793341.852
2589,19572465.192,16122683.704,13078296.208,14285354.776,19309015.104,18664180.6,19020613.104,18944542.872,17031863.368,19515108.28,18952539.856,19491567.312
3166,9538023.9,8358713.892,9473556.152,9558292.892,9766987.628,9369096.996,9627881.6,9264249.804,7477069.724,6685131.248,9850351.916,10104681.02
3251,3755160.496,3390956.592,3722829.788,3547169.792,1299736.172,484886.144,3516156.316,3516258.676,3460044.372,3665604.928,2104838.916,3719760.592
3265,12483934.744,11025529.5,12556634.172,12153742.492,12546974.124,12114467.76,12072466.388,12290931.248,11915531.968,10395801.412,10488474.152,12512174.168
3806,8400881.688,7586315.376,8499193.18,6393676.7,4558633.332,8103417.88,5357241.072,8358445.548,8161119.508,4105708.604,1643289.188,6745525.416
4046,5877916.636,5308891.284,5856875.98,5703545.22,5892612.796,5683395.296,5874867.22,5844263.64,5592698.428,3130807.556,5452043.204,5735374.576
4270,6312801.496,5669543.084,6319838.392,5935770.132,6221090.132,4778832.568,6258004.376,6227135.136,5995066.296,4276699.272,0,2777227.708
6000,22599854.672,20445564.744,19752176.056,11538680.216,22116053.04,10904089.024,11736907.592,21298837.856,21000000.784,22434608.88,21498234.328,22643286.632
6001,9269120.108,8381408.472,8435309.468,4459453.292,6743712.3,8804240.988,9041727.604,9076621.112,8836813.864,9194190.392,7851564.18,9239454.056
6008,19508300.896,17632452.596,19502224.524,13126634.5,18196086.384,18770107.648,19345624.596,19303802.76,18717912.336,14953631.424,14774553.372,19517260.14
6011,9032203.004,6213279.96,7007518.716,8059251.32,8853895.464,8533914.264,8703255.184,8723420.824,8463854.176,8960483.796,8712784.848,8235325.564
6014,9746797.892,7406744.24,4858936.876,8487713.568,9676911.252,9239030.436,9650213.804,9621151.152,9305076.588,9765923.856,8589174.964,9678032.968
6015,4771988.88,4296261.144,4785176.26,151699.9,2310967.872,4515722.332,4676933.064,4686692.972,4553704.432,4747475.132,4620636.172,4733417.016
6020,6147299.468,5199062.456,1344196.796,959297.448,6195355.836,5949891.188,6162650.732,6172410.64,5885745.188,6177016.336,5964960.64,6187334.224
6022,12092599.736,10924592.22,11618920.14,8170177.94,12078768.372,11608921.008,11875749.82,11947000.128,11522245.604,8119877.26,11707046.668,12104719.16
6023,12041064.788,10845458.332,10440309.088,11467162.76,11772789.444,11432230.004,11769608.416,11794649.892,8006396.176,10739711.636,10302864.924,11956304.284
6026,11614874.38,5419532.168,8330384.908,11204704.016,11129925.396,10789341.184,11201317.052,9533013.064,10767027.536,11525853.156,11217957.772,11579070.324
6036,11060845.572,9807989.084,5501378.14,9726735.116,10966321.54,10544693.876,10857523.296,10777706.78,10546625.068,10985038.768,8873830.652,7769008.996
6038,11050492.152,8766170.908,11062144.132,10700625.608,11063130.2,10654997.012,10598236.384,10418601.608,7123461.004,9064638.316,10688908.8,11049100.056
6040,9693252.216,8761284.744,9696467.1,7296033.14,5808590.052,8884467.344,9536875.556,9549970.032,8236948.22,4953537.352,9341073.652,9674779.884
6045,9915838.832,8214683.272,8296496.484,4010299.676,9835178.832,9528959.684,9904768.04,9420562.784,5757572.608,5653238.856,9485997.444,9880102.34
6051,8740302.924,5371616.748,6968496.048,9008609.964,9492045.38,9106860.016,9400977.936,9234446.192,8964216.008,9507140.652,9208432.284,9409600.352
6072,7396499.004,4250321.176,7451971.352,7013561.452,7479455.012,6998567.664,7417172.896,7231274.056,6948394.22,7485429.424,7101931.776,7267478.604
6099,10627531.804,10315703.544,11436600.632,11082903.768,11436737.656,11067286.3,11398396.484,11298194.18,10391764.596,6270881.052,9318541.508,10742739.824
6103,13239816.36,11920877.252,13182912.82,8369446.288,7356763.908,12402667.768,12841331.656,12826190.98,12336433.588,12920366.28,10768895.832,13054059.892
6105,11569450.704,9720270.056,10747694.984,7258781.356,9565918.832,10949568.704,11238404.02,11276392.756,10842330.808,11470205.144,11189896.652,9961539.512
6110,4120779.084,3752329.7,4143133.36,4000229.832,4143129.948,4002147.376,4026606.652,3992801.116,3873740.368,4101542.464,4000083.116,4140090.768
6115,5847707.58,5287274.54,5843197.52,5664039.42,5854110.3,5655509.42,5840503.644,5840438.816,5201563.292,-593.688,2934920.512,5858835.316
6118,6341515.196,5742205.364,6311638.872,1922613.488,3434007,5926457.52,6140272.84,6150531.4,5442192.36,5804259.68,5750832.08,6228320.644
6122,2875342.948,2597251.532,2869860.776,2788403.84,2865589.864,2768653.12,2813355.352,2844027.172,2781811.34,1630949.884,2190795.684,2907633.556
6127,4700838.8,4293149.4,4756634.88,4606882.4,4760934,4621895.2,4779578.08,4771486.64,4626579.36,258610.56,0,4370626.04
6145,11858839.052,10714901.96,11875080.172,11497471.632,11892877.164,11098648.188,11857714.912,11817883.696,11473086.26,6385203.412,8844206.04,11869696.036
6149,4703646.344,4250048.728,4713582.088,4563468.232,4133936.096,4554917.204,4695315.76,4700761.856,4483522.284,4715892.012,4560404.256,4710453.284
6152,11267967.256,10238415.736,8412270.052,6783931.42,8166206.092,10775370.908,9806442.616,9627670,9530931.82,11009057.124,7077892.596,6499699.316
6153,5777618.88,4789650.396,5789902.68,5580274.82,5703139.936,5463553.712,5037511.12,5319915.136,5506350.428,5766341.016,5596994.02,5774314.94
6168,9526636.948,8380172.536,6109525.688,8869903.008,9607907.932,9179591.156,9425017.944,9438472.136,9184231.992,9634860.672,9372547.78,9687731.228
6251,12670124.172,11415829.416,11945135.908,6059475.54,10436490.748,11904866.772,12224885.984,12199990.768,11880628.756,9507918.952,6058472.412,7517530.176
6462,4573725.6,3458528.628,177346.812,4844652.084,4903201.824,2960264.54,4696745.388,5064741.62,4834385.196,5119250.48,4044849.756,4351490.444
7722,5674585.56,3797484.668,5203548.008,5471013.576,5637249.548,5387901.616,5520419.172,5544779.704,3290286.736,1343446.156,4088131.756,5705921.368
8011,4199665.08,3784822.856,4185525.076,4047699.324,3261678.988,3949811.856,3841261.024,4083896.836,3950640.972,3838184.312,560903.556,4186354.192
8036,4010681.88,3649324.2,4025778.2,3842913.64,3630946.28,3677916.76,3922794.44,3922112.04,3843084.24,4021587.72,3861750.24,3981954.4
8055,15978344.664,7929551.024,18116403.128,17861248.544,18404436.768,17768416.976,18168143.648,18005462.016,14558322.552,9723674.92,13455898.976,17518681.088
8907,5448943.48,4916296.584,896615.704,5258396.736,2407376.868,5201571.084,5195339.02,5461898.844,3357417.268,5436830.88,5256840.864,5075892.984
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
